entries (x100),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
insertion times,0,0,0,0,0,0,0,0,9.62,0,10.3,0,10.01,0,9.61,0,0,9.96,9.99,0,0,0,0,0,0,0,0,9.97,9.71,9.96,9.76,10.15,9.5,9.96,10.1,9.99,9.71,10.25,10.07,10.14,9.97,9.99,19.67,20.2,9.98,9.83,19.95,19.94,19.95,19.94,9.97,9.97,9.98,19.96,9.97,19.94,19.95,9.98,20.27,9.62,19.92,19.94,20.28,19.92,19.94,19.94,20.32,19.91,19.93,19.94,19.62,19.95,19.96,20.28,19.6,19.95,19.95,29.92,20.16,19.93,19.93,20.27,29.89,19.98,19.62,30.27,19.82,30.26,29.74,30.4,29.83,20.44,29.92,29.92,30.13,19.95,30.03,19.95,20.44,29.46,29.79,30.08,29.89,30.38,29.92,29.91,29.9,29.89,29.96,29.91,29.94,29.92,39.89,29.61,29.93,39.76,39.52,39.89,30.39,29.98,30.03,29.92,29.92,29.46,29.89,39.48,39.89,39.9,30.39,40.4,39.41,29.46,29.9,40.24,40.03,39.96,40.23,30.38,40.13,39.9,49.36,49.86,39.89,49.86,40.24,40.37,39.89,40.12,40.14,39.87,39.41,39.88,39.44,49.42,39.89,40.35,49.87,40,39.99,49.84,49.72,39.93,49.54,50.37,49.87,49.87,49.84,39.9,49.87,49.71,49.87,49.89,49.87,49.76,49.84,49.89,49.83,50.35,50.35,50.35,60.25,50.21,49.86,50.06,49.55,59.34,49.67,49.83,59.85,49.9,49.88,50.35,60,59.91,49.4,49.88,59.88,49.87,49.99,60.18,60.08,59.59,59.5,59.84,69.81,59.84,59.84,69.8,70.15,59.85,59.8,59.86,60.17,69.48,60.16,60.12,59.87,69.8,59.83,59.84,59.8,59.94,60.09,59.48,59.81,69.82,59.83,59.8,69.84,70.16,70.28,69.69,69.8,69.83,59.38,60.3,70.05,69.79,60.32,69.95,70.29,69.78,69.83,69.81,69.49,69.81,69.82,69.83,69.85,79.32,69.98,79.79,69.81,69.9,79.31,69.79,69.8,69.78,79.79,79.91,69.69,80.26,69.82,79.32,89.77,80.11,69.8,79.47,79.78,69.82,79.79,80.13,79.33,80.27,79.8,79.79,79.8,79.8,79.79,79.29,79.75,80.1,79.77,79.85,89.74,90.25,79.79,90.12,79.96,79.89,79.32,79.79,90.27,89.79,89.78,79.79,79.32,89.27,89.76,89.76,89.75,80.26,79.8,89.75,89.78,89.8,89.85,89.3,89.71,89.58,89.76,90.08,90.12,89.77,90.1,89.77,89.79,79.78,89.68,90.23,89.29,89.77,89.72,89.81,89.77,89.72,99.27,99.73,90.04,99.58,100.23,89.73,89.77,99.61,99.73,99.73,99.73,100.06,99.71,89.75,99.73,99.87,100.07,89.76,109.7,100.04,100.05,99.74,99.39,109.71,99.73,109.7,99.74,99.73,109.71,99.74,99.73,99.76,109.71,99.51,99.4,99.4,109.59,110.01,109.25,99.75,109.71,109.71,99.73,109.71,109.71,119.68,99.74,109.71,99.73,99.73,109.71,109.71,99.74,109.71,99.74,119.75,109.7,109.7,109.7,109.7,109.71,109.71,109.71,120.03,110.18,109.38,109.21,109.7,110.19,110.03,110.09,109.59,109.34,109.7
search times,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,10.23,0,0,0,9.99,9.94,9.73,10.25,9.96,9.98,9.95,10,0,0,10.5,0,0,9.97,0,10.1,0,9.97,9.7,0,9.71,10.23,0,0,0,9.87,9.97,0,0,0,9.98,9.98,9.97,0,9.97,9.98,0,9.97,0,10,0,9.65,0,9.99,9.99,0,9.64,9.97,10,9.99,9.95,10.3,9.97,9.64,9.98,9.97,9.97,9.97,9.98,9.77,19.96,9.98,10,10.01,19.89,9.97,10.09,9.63,9.83,9.97,9.94,9.61,9.97,9.48,9.97,19.74,20.29,0,19.45,19.92,10.43,9.96,9.99,19.48,9.52,10.43,19.98,10,19.94,9.96,9.98,9.97,9.98,10,20.25,9.99,9.97,10.45,9.5,19.75,20,19.92,19.98,19.91,20.44,19.88,9.98,10.44,19.48,19.47,9.96,20.41,20.43,19.48,19.93,9.83,19.55,19.62,19.65,20.01,10,19.96,19.95,19.95,19.95,19.59,19.95,19.74,19.68,19.97,19.96,20.42,19.94,9.93,20.43,19.47,19.48,20.29,29.83,19.98,19.94,19.95,19.93,19.93,19.91,19.94,19.98,19.95,19.94,19.96,20.1,19.94,19.92,19.96,20.06,19.94,19.96,29.45,19.46,19.48,19.46,19.54,19.93,29.93,19.73,20.45,20.45,30.12,19.94,19.94,29.89,29.44,19.79,19.46,20.34,30.39,19.93,29.88,29.8,29.45,19.66,29.87,20.28,29.92,19.95,19.96,29.92,19.95,19.95,19.94,29.95,29.93,29.57,19.94,29.92,19.67,30.07,19.92,19.95,29.47,30.37,29.89,29.52,29.95,30.4,29.94,19.47,30.42,29.92,19.46,19.61,29.94,19.6,20.4,29.9,29.95,19.45,19.97,29.45,29.77,39.42,29.95,19.96,29.89,29.91,29.78,30.42,19.92,29.92,29.86,20.03,19.92,29.44,30.31,29.93,30.4,29.94,29.95,29.92,29.79,29.82,29.68,29.44,30.38,39.89,29.92,29.93,29.92,30.23,29.61,30.4,29.54,29.93,19.95,29.88,29.91,39.89,39.93,29.87,29.95,30.42,29.45,29.93,29.93,29.55,29.93,29.9,29.45,29.87,39.77,29.92,40.38,29.43,19.91,29.88,29.9,39.9,30.41,30.39,29.91,29.93,39.43,39.88,39.43,30.38,29.9,29.81,29.91,40.4,29.29,39.91,39.56,39.58,39.85,39.56,40.01,29.92,49.87,39.95,39.43,29.91,40.37,39.77,49.81,40.05,39.78,39.9,39.9,40.07,49.9,39.55,39.89,49.87,39.88,39.56,39.89,39.9,39.89,39.91,39.91,39.92,29.58,39.76,50.01,39.41,49.88,39.59,40.21,39.91,39.89,39.9,49.87,39.89,49.87,39.89,39.89,50.37,39.87,39.39,40.35,39.99,40.24,40.49,39.41,30.07,39.88,39.89,39.89,39.89,49.87,39.89,29.92,49.86,49.86,49.87,49.87,39.89,39.89,39.88,39.89,39.89,49.86,39.83,39.9,39.9,49.87,39.9,39.89,39.89,39.87,39.56,39.75,40.38,50.36,39.41,49.39,39.56,39.89,50.36,49.87,29.93
