entries (x100),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
insertion times,0,0,0,9.96,0,0,0,9.98,0,0,0,0,9.99,0,9.99,9.82,0,0,0,10.31,9.63,10.31,9.98,9.68,9.93,10.33,9.94,10.01,0,9.57,9.89,9.97,10.48,10.1,9.98,10.45,9.96,10.01,9.95,9.49,10.34,9.97,10,19.44,10.45,9.95,9.96,9.47,10.45,9.96,9.97,10.46,20.09,19.79,9.98,10.08,19.96,19.62,10.43,19.97,10.43,19.99,9.99,20.37,20.01,19.41,19.93,19.97,10.44,10.02,19.48,19.97,19.95,19.96,19.9,19.98,19.99,19.45,19.56,29.97,19.98,20.09,19.94,19.91,30.39,19.96,30.39,29.79,20.27,29.97,29.51,39.89,20.27,20.3,29.91,29.92,19.84,19.93,29.89,29.88,29.88,20.29,29.92,29.92,30.23,30.24,29.57,29.95,29.92,29.57,30.23,29.9,39.56,29.89,29.95,39.9,39.87,29.93,29.58,29.94,30.23,29.94,39.88,40.37,39.55,40.28,40.18,39.96,39.89,39.86,40.2,29.93,39.86,39.89,39.49,39.89,39.89,39.9,39.51,39.88,40.41,49.37,40.22,39.55,39.89,38.71,40.21,39.88,39.89,39.92,39.89,40.04,40.11,50.35,40.38,39.89,49.87,39.9,49.85,39.79,49.86,49.39,39.41,49.86,49.84,39.92,39.79,49.88,49.53,49.87,49.9,49.87,49.85,49.81,49.84,49.88,50.35,49.89,39.9,49.87,59.86,49.89,49.88,50,40.39,49.37,59.85,49.52,59.84,59.83,50.01,49.89,59.75,59.53,59.85,49.49,49.88,49.41,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.84,59.85,59.84,59.84,59.84,59.83,59.84,59.84,59.83,59.84,59.85,59.84,59.84,59.84,69.81,69.81,59.85,59.84,59.83,59.84,60.16,59.85,70.2,59.86,59.88,69.62,59.85,69.85,59.83,69.83,60.18,69.85,59.86,69.33,69.82,60.32,69.84,69.49,69.79,69.82,69.79,69.85,69.78,69.81,69.84,69.82,79.33,79.79,79.78,69.93,69.83,79.79,69.35,79.82,80.12,79.8,69.37,79.91,69.81,79.78,79.73,69.48,69.32,79.79,79.75,89.75,79.31,79.78,79.84,69.83,79.42,79.82,79.57,79.79,79.66,80.07,79.79,89.75,80.19,79.79,79.78,79.79,79.94,89.73,89.42,80.09,80.12,89.42,89.77,79.78,80.21,89.29,89.66,89.74,79.78,89.71,89.75,90.09,80.01,79.86,89.76,89.91,90.18,90.03,89.76,90.14,89.74,89.77,89.79,89.76,90.06,89.81,89.75,89.77,90.26,90.23,90.25,89.26,89.93,109.72,89.62,89.3,89.76,100.25,89.29,90.21,89.79,99.73,89.62,100.21,99.7,89.73,99.71,100.22,99.71,99.77,100.18,89.78,99.24,99.73,99.4,99.85,99.75,99.76,100.2,100.24,99.58,99.42,99.74,99.74,109.73,99.84,99.74,100.04,99.6,99.76,100.25,100.21,109.72,99.27,99.72,109.7,99.75,109.68,109.84,109.72,109.34,109.69,99.71,119.21,109.78,110.19,99.24,109.38,109.71,99.75,110.04,109.21,109.68,109.23,109.71,109.71,119.68,109.71,109.71,109.7,129.65,119.67,119.68,119.36,109.71,120.02,119.59,109.85,109.69
search times,0,0,0,0,0,0,0,0,0,9.96,0,0,0,0,0,0,9.77,9.97,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,9.81,0,0,0,9.98,0,9.97,0,10.08,9.98,0,0,0,9.99,10,9.97,9.99,9.98,9.5,9.83,0,9.64,10.34,9.82,0,9.96,9.98,9.49,9.97,9.95,9.53,9.98,0,10.46,0,9.48,10.11,9.96,10.44,9.95,9.5,10.48,9.97,9.96,9.93,10.44,9.9,10.25,9.94,9.94,10.01,9.51,9.97,9.49,0,9.63,19.63,10.32,9.99,9.97,19.62,9.94,10.01,9.96,10.07,10,10.01,10.01,19.64,19.91,10,9.64,19.63,10,20.27,9.94,19.98,9.98,19.97,10,10.33,19.92,9.94,10.01,9.98,19.94,20.27,19.61,19.94,9.98,9.65,9.83,9.98,9.65,9.94,9.91,10.01,9.66,19.95,19.97,10,20.09,10.39,19.93,9.97,19.96,10.35,19.47,9.96,9.97,19.97,20.27,20.82,19.93,19.97,19.94,19.96,19.6,20.29,19.71,19.47,19.47,19.94,19.96,19.92,19.96,19.98,20.02,19.95,20.44,20.42,19.97,19.98,29.87,29.54,20.28,20.43,19.93,19.91,19.96,20,29.95,19.95,29.44,19.93,19.93,19.94,19.93,19.93,19.92,29.77,19.48,29.94,19.95,20.29,20.42,19.95,19.82,29.9,29.87,19.91,19.95,20.32,30.38,29.9,19.95,19.95,19.94,19.95,29.92,19.95,9.97,19.95,19.94,29.92,29.92,19.94,29.93,19.95,29.92,19.94,29.92,29.92,29.92,29.92,19.95,19.94,19.95,29.92,29.91,29.93,29.93,29.91,29.94,29.58,29.86,29.88,29.76,30.38,19.91,29.92,29.91,19.8,39.89,30.02,29.92,39.88,29.93,19.92,29.78,30.38,39.44,30.4,29.88,29.95,29.93,39.89,29.89,29.91,20.41,19.96,29.81,29.92,29.91,29.9,30.24,19.59,19.95,30.01,30.39,29.33,30.4,29.97,29.79,40.39,30.38,29.96,29.95,29.91,29.92,30.39,29.87,29.8,30.39,29.97,40.02,39.89,39.74,29.92,29.95,29.51,39.77,39.87,39.92,39.86,29.97,39.73,39.9,39.59,40.1,30.18,39.89,39.48,39.89,40.36,40.01,39.84,40.01,39.42,49.87,39.91,39.84,39.87,39.91,39.4,39.49,40.09,39.42,40,49.86,39.89,39.73,39.55,50.03,39.88,49.38,39.89,49.37,49.39,39.91,50.19,49.37,50.34,49.98,50.36,39.4,39.85,49.87,49.87,49.84,49.89,49.53,39.9,49.93,39.89,39.43,30.37,39.89,39.41,49.87,49.88,50.21,39.89,50.2,39.89,39.88,49.39,39.42,49.84,39.89,49.86,39.89,40.2,39.57,50.21,39.89,50.04,49.99,49.38,39.38,49.38,40.34,50.36,39.89,49.87,39.91,39.42,40.23,39.78,40.37,49.89,49.87,60.18,39.47,49.88,50.21,40.35,49.87,49.38,50.02,40.4,29.91,49.87,49.86,39.89,49.87,49.86,49.87,39.9,59.84,49.87,50.19,49.86,39.89,39.97,49.86,49.89,49.4
